英語,日本語
Ii clan,井伊氏
Iinoya domain,井伊谷藩
Naochika II,井伊直親
Naomasa II,井伊直政
Naosuke II,井伊直弼
Ihara City,井原市
Saikaku IHARA,井原西鶴
well,井戸
well (incantation well),井戸（加持井）
in a well-like style,井戸状
well water (Hakuryu Gongen-sui),井戸水(白龍権現水)
Ido tea bowl,井戸茶碗
Yoshihiro IDO,井戸良弘
Shinsuke IGUCHI,井口新助
Ide,井手
Ide no Udaijin,井手右大臣
Ide-ji Temple,井手寺
Ide-cho,井手町
Ide Town Hall,井手町役場
Ide Municipal Ide Elementary School,井手町立井手小学校
Ide Municipal Izumigaoka Junior High School,井手町立泉ヶ丘中学校
Ide Post Office,井手郵便局
Ide,井出
Enryo INOUE,井上円了
Kaoru INOUE,井上馨
Kowashi INOUE,井上毅
Genzaburo INOUE,井上源三郎
Mitsusada INOUE,井上光貞
Empress Inoe,井上皇后
Inoue-sha Shrine,井上社
Harutada INOUE,井上春忠
Shinkai INOUE,井上真改
Masatoshi INOUE,井上正利
Masamine INOUE,井上正岑
Imperial Princess Inoe,井上内親王
Yachiyo INOUE,井上八千代
INOUE Hisoka,井上密
Yasushi INOUE,井上靖
"""Stars and festival"" by Yasushi INOUE",井上靖『星と祭』
Inoue school (of dance),井上流
Ijiri Tajimanokami Chosuke,井尻但馬守長助
Motohiko IZAWA,井沢元彦
Noh Izutsu,井筒 (能)
the head store of Izutsu Yatsuhashi,井筒八ッ橋本舗
Ibirao,井平尾
Imon Meiji Yasuda Seimei Building,井門明治安田生命ビル
"twelfth sign of the Chinese zodiac (The Boar, 9pm-11pm, north-northwest, October)",亥
Ikushinkan,育真館
Ikuhokita-dori Street,郁芳北通
Ikuhomon,郁芳門
Ikuhomon-in,郁芳門院
Yuhomonin (Imperial Princess Teiko),郁芳門院（てい子内親王）
Ikuhomonin (Imperial Princess Teishi) Neawase (the root-comparing contest held by Ikuhomonin),郁芳門院（媞子内親王）根合
Ikuhomonin no Aki,郁芳門院安芸
Sowa ISOGAI,磯貝宗和
Arata ISOZAKI,磯崎新
Iso no zenji,磯禅師
Iso Cho,磯町
Taka ISODA,磯田多佳
Isobe-age (deep-fried vegetables or meats with Itanori),磯辺揚げ（いそべあげ）
Isono,磯野
Kazumasa ISONO,磯野員昌
Isora,磯良
baby clothes,一つ身（背縫いがない）
"one-eyed goblin, one-eyed monster",一つ目小僧
Ichinomiya Sanbashi,一の宮桟橋
Ichino-hashi bridge,一ノ橋
first phrase,一の句
ichino-miko,一の御子（いちのみこ）
the remains of Ichinose tea shed,一の瀬茶屋跡
Ichinodai,一の台
Ichinotani region,一ノ谷
the Battle of Ichinotani,一ノ谷の戦い
Ichi no torii (the first archway),一の鳥居
Ichiin-e,一印会
one-yen bill,一円札
reign the whole region,一円支配
Ichien-shinryokogyo Law,一円神領興行法
Ichio,一翁
Soshu ICHIO,一翁宗守
Ichion-in,一音院
Ichie school,一会流
Ikkaku sennin,一角仙人
Ikkan-ryu school,一貫流
Ikkan-ryu hozon kai (Preservation society of Ikkan-ryu school),一貫流保存会
Ikkensha Kasuga-zukuri,一間社春日造
ikken Yakui-mon gate,一間薬医門
Ichinoseki Domain,一関藩
one-on-one battle,一騎打ち
a host in oneself,一騎当千の勇者
IKKYU,一休
Ikkyu san,一休さん
a praise of Ikkyu,一休の賛
Ikkyu-ji Temple,一休寺
Ikkyu Sojun,一休宗純
Ikkyu Sojun-zo,一休宗純像
calligraphy done by Ikkyu Sojun,一休宗純墨蹟
Aa witing of temple gate restoration written by Ikkyu Osho,一休和尚自筆山門再興書状
Ichinomiya,一宮
the Ichinomiya clan,一宮氏
pilgrimage to Ichinomiya Shrines,一宮巡拝
Ichinomiya-jinja Shrine,一宮神社
Ichinomiya Town,一宮町
first-class river,一級河川
first class rivers,一級水系
the Hitotsubashi family,一橋家
the head of Hitotsubashi family Mochinaga TOKUGAWA,一橋家当主徳川茂徳
Yoshinobu HITOTSUBASHI,一橋慶喜
Harusada HITOTSUBASHI,一橋治済
Ikkyo Elementary School,一橋小学校
the Hitotsubashi group,一橋派
Ichigu,一具
"first-time customer (of an inn or a restaurant), chance customer, customer without an introduction from a regular customer",一見さん
No first visitors who have no acquaintance with the restaurant,一見さんお断り
ichigen-kin (a single-string zither),一弦琴
Ichigon-ji Temple,一言寺
Hitokoto nushi (a Japanese ancient god),一言主
Hitokura Dam,一庫ダム
"Ikkosanzon, single-light triad halo",一光三尊
an uprising of Ikko sect followers,一向一揆
Ikko sect,一向宗
Shunjo IKKO,一向俊聖
Ichigyo,一行
a writing in one-line,一行書
Ichiko (Daiichi High School),一高
the first number,一号
one castle in one feudal domain,一国一城
Ikkoku Ichijo Rei (Law of One Castle per Province),一国一城令
Ikkoku heikinyaku (taxes and labor uniformly imposed on shoen (manor) and kokugaryoi (provincial land) in a province),一国平均役
top rank,一座
Ichiza-senge(imperial proclamation of the highest rank),一座宣下
Issan,一山
one letter in one mountain,一山一字
Ichinei ISSAN,一山一寧
Issan Ichinei bokuseki,一山一寧墨蹟
Issa group,一山派
transmission only to a single pupil,一子相伝
Isshi Soden (transmission of the secrets of an art from father to only one child),一子相伝（全伝）
a secret ceremony handed down from father to son,一子相伝の秘儀の相続
ISSHISAI,一指斎
Isshidan garden,一枝坦（いっしだん）
Isshi Monju/Isshi Bunshu,一糸文守
Ichiji isseki kyo,一字一石経
Ichijikinrin,一字金輪
"Ichiji Kinrin Buccho (the principal Buddha of the ""Court of the Perfected"")",一字金輪仏頂
Ichijikinrin Butchō Mandala,一字金輪曼荼羅
ichiji-hairyo,一字拝領
Hitote-sharei (a way of ceremonial shooting with a pair of arrows),一手射礼
a meal with one soup and three side dishes,一汁三菜
a single layer,一重
a single shelf on a wall,一重棚
single layer irimoya-zukuri,一重入母屋造
ichinokami (the ranking Council Member),一上
Ichijo-in Temple,一乗院
Kakukei ICHIJOIN,一乗院覚慶
Ichijoinnomiya priestly Imperial Prince Sonei,一乗院宮尊映入道親王
Ichijo Shiｋanin,一乗止観院
Ichijo-ji Temple,一乗寺
Ichijoji Station,一乗寺駅
Ichijoji-Sagarimatsu,一乗寺下り松
Ichijoji Sagarimatsu-cho,一乗寺下り松町
Ichijoji Takatsukicho (bus stop),一乗寺高槻町
Ichijoji Sanjunoto,一乗寺三重塔
Ichijoji Takenouchi-cho,一乗寺竹ノ内町
Ichijodani,一乗谷
ICHIJO,一条
Koremasa/Koretada ICHIJO,一条伊尹
Ichijo-in,一条院
the Ichijo family ,一条家
Norifusa ICHIJO,一条教房
Tsunetsugu ICHIJO,一条経嗣
Tsunemichi ICHIJO,一条経通
Tsunetada ICHIJO,一条経尹
Kaneie ICHIJO,一条兼家
Kaneteru ICHIJO,一条兼輝
Kaneka ICHIJO,一条兼香
Kanesada ICHIJO,一条兼定
Kanefuyu ICHIJO,一条兼冬
Kanera ICHIJO,一条兼良
Yukifusa ICHIJO,一条行房
Takayoshi ICHIJO,一条高能
Ichijoji Sagari Matucho bus stop,一条寺下り松町バス停
Ichijo Muromachi,一条室町
Ichijo Muromachi-tei,一条室町第
Sanemasa ICHIJO,一条実雅
Prince Saneteru ICHIJO,一条実輝公爵
Sanetsune ICHIJO,一条実経
Ichijo Kokawa,一条小川
Akiyoshi ICHIJO,一条昭良
Akiyoshi ICHIJO,一条昭良(昭良)
Nobuyoshi ICHIJO,一条信能
Masachika ICHIJO,一条政親
Masafusa ICHIJO,一条政房
Ichijo Sessho regent,一条摂政
Ichijo-omiya,一条大宮
Ichijo-oji Street,一条大路
Tadaka ICHIJO,一条忠香
Tadayori ICHIJO,一条忠頼
the court of Emperor Ichijo,一条朝
Naoko ICHIJO,一条直子
Ichijo-dori Street,一条通
Ichijo-dori Street Ogawa-dori Street,一条通小川通
Ichijo-dori agaru,一条通上ル
Ichijo-dori Horikawa-dori,一条通堀川通
Emperor Ichijo,一条帝
Emperor Ichijo,一条天皇
Emperor Ichijo's nyogo(consort),一条天皇女御
the second consort of the Emperor Ichijo,一条天皇中宮
the court ruled by Emperor Ichijo,一条天皇朝
Ichijo Hall,一条殿
Fuyutsune ICHIJO,一条冬経
Fuyuyoshi ICHIJO,一条冬良
Ichijo wisteria,一条藤
Tadamoto ICHIJO,一条内基
Uchitsune ICHIJO,一条内経
Uchitsugu ICHIJO,一条内嗣
Tadamasa ICHIJO,一条内政
Yoshiyasu ICHIJO,一条能保
Haruko ICHIJO,一条美子
Tomiko ICHIJO (Kyoraimonin),一条富子（恭礼門院）
Fusaie ICHIJO,一条房家
Fusamoto ICHIJO,一条房基
Fusatsune ICHIJO,一条房経
Fusamichi ICHIJO,一条房通
Fusafuyu ICHIJO,一条房冬
the remain of Ichijo Hokuhendo,一条北辺堂跡
Ichijo Modori-bashi Bridge,一条戻橋
ichijo-daime (the size of one tatami (a floor covering made of tightly woven grass and straw) plus a half-sized tatami),一畳台目
Ichijo han no Denju (initiation of one and half mats),一畳半の伝授
Isshiki family,一色家
Yoshito ISSHIKI,一色義遠
Yoshitsura ISSHIKI,一色義貫
Yoshiyuki ISSHIKI,一色義幸
Yoshihide ISSHIKI,一色義秀
Yoshiharu ISSHIKI,一色義春
Yoshikiyo ISSHIKI,一色義清
Yoshinao ISSHIKI,一色義直
Yoshisada ISSHIKI,一色義定
Yoshimichi ISSHIKI,一色義道
Yoshiari ISSHIKI,一色義有
Norichika ISSHIKI,一色教親
Norinao ISSHIKI,一色教直
Kuro ISSHIKI,一色九郎
Isshiki Gunki,一色軍記
Koshin ISSHIKI,一色公探
Isshiki clan,一色氏
Tokiie ISSHIKI,一色時家
Hidekazu ISSIKI,一色秀勝
Masahiro ISSHIKI,一色政熈
Isshiki-Niwa clan,一色丹羽氏
Osakane ISSHIKI,一色長兼
Naouji ISSHIKI,一色直氏
isshikiden (partially exempt fields),一色田
Issiki-Tsuchiya clan,一色土屋氏
Norimitsu ISSHIKI,一色範光
Noriuji ISSHIKI,一色範氏
Norikatsu ISSHIKI,一色範勝
Mitsunori ISSHIKI,一色満範
Rikyo ISSHIKI,一色梨郷
Isshin-sangan Tendai-shu sect's Contemplation,一心三観
Center for Interdisciplinary Study of Monotheistic Religions,一神教学際研究センター
Ichi no miko,一神子
hitomi (without second dewing),一身の（背縫いの無い）
"isshin-ajari (a special class of the teaching priests, who are noble and permitted to play role of ajari)",一身阿闍梨
"personal-to-a-person Karo, chief retainer post (not inherited)",一身家老組
Ishinden Station,一身田 (駅)
"""each one worth a thousand""",一人当千
solo dance,一人舞
the practice of assigning one era name to the reign of eachi emperor,一世一元
each emperor one era system,一世一元の制
Issei Genji (Emperor's son who went out of Imperial family and had Genji name),一世源氏
Denpachi ICHINOSE,一瀬伝八
"Isse, Ippo",一畝
complete Buddhist scriptures,一切経
Issai Kyozo (Rinzo),一切経蔵（輪蔵)
Issai Shujo/all creatures/all life/all sentient beings,一切衆生
Issaichii-nyorai,一切智威如来
Iryeon,一然
Isso-ryu,一噌流
Isso,一双
family,一族
the whole family people,一族衆
families and retainers,一族郎党
Kino ISSONNYORAI,一尊如来きの
Ichida-sai Festival,一打祭
"personal-to-a-person Koban, post (not inherited)",一代小番
Ichidai soden (transmission of the secrets of an art from the family to one person of other family),一代相伝
Ichidai Yoki (summary chronicle of each reign),一代要記
a genealogical table of Imperial family,一大皇室系図
big scandal,一大醜聞事件
first group verb,一段動詞
Itchi group (of the Nichiren sect),一致派
icchubushi,一中節
for twenty-four hours,一昼夜
one of shrines,一柱
one-party dictatorship,一党独裁
Shoteki ITTO,一凍紹滴
Itto-Sanrai (to worship three times with every stroke on scalpturing statues),一刀三礼
Ittoryu Kobudo school,一刀流
Ittoen,一燈園
Soshitsu ITTO,一燈宗室
First Meritorious Award,一等褒状
"One-day Pass for Eizan Railways ""Ee Kippu""",一日乗車券「えぇきっぷ」
Ichinichi Shinryomin (temporary Shinryomin only for the day),一日神領民
Ichinichi Soden (one-day transmission of the secrets of an art from the family),一日相伝
Ichinyo,一如
Ichinyo Kannon,一如観音（いちにょ）
"determined purpose, an incredibly short span of time, a single repetition of a prayer",一念
Ichinen-gi/Single Recitation doctrine,一念義
The Three Thousand Realms Contained in One Mind,一念三千
Ichinentamen-moni,一念多念文意
Ichinomiya,一之宮
Ichinomuro-in Temple,一之室院
Ichinofunairi,一之舟入
Ichi no Torii (Shinto shrine archway),一之鳥居
Ichibata Bus,一畑バス
"Ichibata Electric Railway Co.,Ltd.",一畑電気鉄道
Ittan-momen (a ghostly phenomenon formed as one-tenth hectare of cotton),一反木綿
Ichiban hikitsuke tonin (the first head of the legal office),一番引付頭人
Ichiban-shotai Taicho (commander of Ichiban platoon),一番小隊隊長
Ichiban-gumi,一番組
Ichiban-yari (spearmen's group or person to spark a war),一番槍
Ichiban-daitai Shikicho (chief commander of the first battalion),一番大隊指揮長
first-grade tea (first picking),一番茶
Iori ICHIO,一尾伊織
Ichio school,一尾流
Ippon,一品
Ippon no Miya,一品宮
Ippon no Miya Uta-awase,一品宮歌合
"Imperial Princess Shishi/Sukeko of Ippon no miya, the highest imperial rank",一品宮資子内親王
Imperial Princess Shushi/Nagako of Ippon no miya,一品宮脩子内親王
Ippon Kyo kaishi,一品経懐紙
Ippon Shikibukyo,一品式部卿
Ippon Imperial Prince,一品親王
Ippon Nakatsukasakyo,一品中務卿
Ichimon-bashi Bridge,一文橋
straight line type,一文字型
Ichimonji-chozubachi (the oval pot to wash hands),一文字手水鉢
Norimune ICHIMONJI,一文字則宗
Ichimonji group,一文字派
ichimonnji-gaesi,一文字返り
"a one-mon coin (""mon"" is a monetary unit of old times)",一文銭
Ippen,一遍
Ippen Shonin Eden (Pictorial biography of the monk Ippen),一遍上人絵伝
one package of incense without including try incense,一包無試
geta (clog) with single support,一本歯の高下駄
Ipponmatsu tea shed,一本松茶屋
ichibokuzukuri (a method of making a Buddha statue. The main parts of the statue are carved from one wood],一本造
ichimai,一枚
solid timber,一枚板
"ground red pepper, sesami",一味唐辛子、ごま
Kitokuro ICHIKI,一木喜徳郎
Ichiboku-zukuri (wooden figure carved of one tree),一木造
family,一門
The Exile of the Taira clan,一門都落ち
ichiya-zuke (overnight pickles),一夜漬け
Hitotsuyanagi Kaki,一柳家記
Naosuke HITOTSUYANAGI,一柳直高
Ichiyo Kannon,一葉観音（いちよう）
"Ichirai-ka, one who has fully consummated the stage of the once-returner",一来果
Ichirai-hoshi (Buddhist monk),一来法師
artists of the first rank,一流アーティスト
a painting circle of the first rank,一流画壇
Hitotsubu Dormitory,一粒寮（ひとつぶ-りょう）
Ichiriki-jaya teahouse,一力茶屋
"one type, one system",一類型
One-Six,一六難呉流
hitohaki,一佩（ひとはき）
uprising,一揆
Ichienbudaisoyo,一閻浮提総与（いちえんぶだいそうよ）
Ichikotsucho tone,壱越調
Iki,壱岐
Iki Province,壱岐国
Iki City,壱岐市
Governor of Iki Province,壱岐守
"Ichibanya Co.,Ltd./Curry House CoCo Ichibanya",壱番屋
Itsuo Art Museum,逸翁美術館
Henmi clan,逸見氏
Henmi-ryu school,逸見流
Hayanari,逸勢
itsubun (a composition previously existed but doesn't exist now),逸文
anecdote,逸話
Inari,稲荷
Inari Station,稲荷駅
Inari Kanko Festival,稲荷還幸祭
Mt. Inari,稲荷山
Inariyama-kofun Tumulus,稲荷山古墳
Inari-sha Shrine,稲荷社
Inari Elementary School,稲荷小学校
Inari-shindo (new road) Station,稲荷新道駅
Inari-shin (the god of harvest),稲荷神
Inari-jinja Shrine,稲荷神社
Inari-jinja-mae Station (the station in front of Inari Shrine),稲荷神社前駅
Inari Line,稲荷線
Inari-taish-mae (in front of Inari Grand-Shrine),稲荷大社前
Inari Daimyo-jin God,稲荷大明神
Inari torii,稲荷鳥居
Inarizuka-kofun Tumulus,稲荷塚古墳
a follower of the Inari gracious deity,稲荷明神の眷属
Genshiro INAGAKI,稲垣源四郎
Yukinori INAYAMA,稲山行教
Inae Station,稲枝 (駅)
the Inamori clan,稲守氏
the Inamori clan,稲森氏
Inamori Foundation,稲盛財団
Inamura Palace,稲村御所
Inamura kubo,稲村公方
Inazawa Station,稲沢駅
Inadahime no mikoto,稲田姫命
Inabata waraku an,稲畑和楽庵
Sukenao INATOMI,稲富祐直
Inashiki City,稲敷市
rice ear,稲穂
Inage Sengen-jinja Shrine,稲毛浅間神社
Inaba,稲葉
Ittetsu INABA,稲葉一鉄
the Inaba family,稲葉家
Norimichi INABA,稲葉紀通
Yoshishige INABA,稲葉吉重
Inabayama ancient tomb,稲葉山古墳
the Inaba clan,稲葉氏
Shigemichi INABA,稲葉重通
Masamaru INABA,稲葉昌丸
Masanobu INABA,稲葉正のぶ
Masayoshi INABA,稲葉正益
Masayuki INABA,稲葉正往
Masayoshi INABA,稲葉正誼
Masahiro INABA,稲葉正弘
Masatsune INABA,稲葉正恒
Masamori INABA,稲葉正守
Masakatsu INABA,稲葉正勝
Masachika INABA,稲葉正親
Masanori INABA,稲葉正則
Masatomo INABA,稲葉正知
Masato INABA,稲葉正任
Masaharu INABA,稲葉正発
Masanari INABA,稲葉正備
Masakuni INABA,稲葉正邦
Michikuni INABA,稲葉通邦
Inaba-honke (Inaba Head Family),稲葉本家
Ryochu INABA-zo,稲葉良籌（いなばりょうちゅう）像
Ibaraki no Taiko (Japanese drums in Ibaraki),茨城の太鼓
Ibaraki Prefecture,茨城県
"Mamuta-no-tsutsumi, Manda-no-tsutsumi (Manda Levee)",茨田堤
Ibaraki Station,茨木駅
Ibaraki office,茨木管理事務所
Ibaraki work office,茨木工事事務所
Ibaraki City,茨木市
Ibaraki-shi Station,茨木市駅
the family name of Ibaraki,茨木姓
Ibaraki-cho,茨木町
Ibaraki Doji,茨木童子
Ibarakidoji-sugatami-bashi Bridge,茨木童子貌見橋
Imo Jizo,芋地蔵
splendid moon of taros,芋名月
sardines boiled with rice bran,鰯のぬか炊き
iwashi no suiri,鰯酢煎（いわしのすいり）
jo,允
Inka (Certification of spiritual achievement),印可
seal,印鑑
inkin,印金
Sutra-Printing Academy,印経院
Ingetsu-chi,印月池
print and publish,印行
Inji-sha Shrine,印璽社
Inju(the great seal),印綬
seal,印章
sealed papers,印章文書
Insai,印西
Insai-ha school,印西派
Enshu group of Insai-ha school,印西派遠州系
Insai-ha Soke (head of Insai-ha school),印西派宗家
Insai-ha-so (founder of Insai-ha school),印西派祖
mudra,印相
Intoshoiwahashi Village,印東庄岩橋村
Inamino,印南野
Inno-sha Shrine,印納社
Inpu (compilation of seal marks),印譜
Hirotsugu KANEMAKI,印牧広次
Inba County,印旛郡
Inro (pill case),印籠
innyaku,印鑰
Kazumasa,員昌
Inkei,因恵
"Ingada, Angaja",因掲陀（いんがだ Ańgaja）
Inken,因憲
Inaba,因幡
Inaba Province,因幡国
Provisional Governor of Inaba Province,因幡国権守
Inaba no Kokushi,因幡国司
Governor of Inaba Province,因幡国守
Shugo group of Inaba Province,因幡国守護勢
the Inaba clan,因幡氏
Governor of Inaba Province,因幡守
Inaba Shoin-gami,因幡書院紙
Inaba-Tottori Domain,因幡鳥取藩
Inabado,因幡堂
Inaba's twenty samurai warriors,因幡二十士
Inaba Yakushi,因幡薬師
Inaba Yakushido,因幡薬師堂
Inaba Yakushi Byodo-ji Temple,因幡薬師平等寺
Inbi cha (tea),因尾茶
Inbi Line,因美線
Inmyo,因明
a matrimonial relation,姻戚関係
lead tracks,引き上げ線
Hiki-daimoku,引き題目
a stage curtain (a stage curtain which opens to one side of the stage),引き幕
poem quotation,引歌
"hikigoshi,",引腰
railroad siding,引込線
Inasa Nagura Family,引佐名倉家
hikite （door catch）,引手
Hikidemono gift,引出物
lead tracks,引上線
train of dress,引摺り
Injo-ji Temple,引接寺
Injo-ji Temple (Kyoto City) (Senbon Enma-do),引接寺 (京都市)（千本閻魔堂）
retirement,引退
Indo Jizo,引導地蔵
hikihegi,引陪木
hikimayu (painted eyebrows),引眉
Hikitsukeshu (Coadjustor of the High Court),引付衆
"Hikitsukegashira (head of Hikitsukeshu, a judicial organ)",引付頭
Hikitsuke tonin (chairman of the court of justice),引付頭人
Hikitsuke-kata (office of adjudicants),引付方
Hisshiki no Kusazuri (tassets of the matting),引敷の草摺
Hikiwake (drawing),引分け
hikime-kagihana (drawn-line eyes and a hook-shaped nose),引目鉤鼻
Maizuru Repatriation Memorial Museum,引揚記念館
Repartriation Memorial Museum,引揚記念公園
Hikiage-sanbashi,引揚桟橋
citation,引用
hikimono,引帷
Onko,飲光
Inchu Hassen-zu (Eight Drinking Hermits),飲中八仙図
Inshi jakyo (evil heresies),淫祠邪教
Inei,胤栄
Taneyoshi,胤吉
Tanehito,胤仁
Imperial Prince Tanehito (Emperor Gofushimi),胤仁親王（後伏見天皇）
On i,蔭位
Inryo-ken House-hold,蔭涼軒
Inryoken Nichiroku (Dietary Life of Zen Priests),蔭凉軒日録
In (the retired Emperor),院
in (section),院（区画）
"Majordome of In, the office of the retired emperor (the Retired Emperor Go-Hanazono)",院（後花園上皇）執事
In no Gosho (Retirement Palace),院の御所
Inkadan (Poetry circles in In),院歌壇
In no Kinshin (the retired Emperor's courtier),院近臣
In no gosho (the retired Emperor's court),院御所
inmizuijin,院御随身
ingo (a posthumous title given to an emperor),院号
given the name of ex-emperor,院号宣下
Ingo-sadame,院号定
Inshi (a messenger from the retired Emperor),院使
"Inshi (official of the In no cho, or Retired Emperor's Office)",院司
In no tsukasa betto(Secretary of office of the retired emperor's government),院司別当
innoshikken,院執権
In no shitsushi (steward),院執事
Inju (the chief of a temple),院主
inshutendai,院主典代
cloister government,院政
cloister government period,院政期
a command from a retired emperor,院宣
inkurodo,院蔵人
In no cho (Retired Emperor's Office),院庁
"innocho kudashibumi (a letter issued by innocho, the Retired Emperor's Office)",院庁下文
innochocho (orders issued by innocho),院庁牒
Innocho Betto (chief administrator of the Retired Emperor's Office),院庁別当
indenso,院伝奏
Innai,院内
innovative power in Kizokuin (the House of Peers),院内革新勢力
Inpa (In School),院派
inhogandai (office work position),院判官代
In no hyojo (consultation under the government by the retired Emperor),院評定
In no hyojo sei (the council system supervised by the retired Emperor),院評定制
inbunkoku (Provinces under control by In-no-cho),院分国
In no betto (chief administrator of the Retired Emperor's Office),院別当
inactive and passive,陰
kagema (male geisha),陰間
Kage-kiku (outlined Chrysanthemum),陰菊（かげきく）
penis,陰茎
Intoku-taiheiki (old chronicle),陰徳太平記
scrotum,陰嚢
a manner to expose her genital organ,陰部を露出させる作法
Inmei-mon Gate,陰明門
Onmeimonin,陰明門院
"cosmic dual forces, yin and yang, sun and moon, etc.",陰陽
Onmyo no jo,陰陽允
Inyoka (the Yin and Yang school of philosophy),陰陽家
Onmyo no gonsuke,陰陽権助
Inyo gogyo,陰陽五行
Inyo [Onmyo] gogyo shiso (Yin-Yang Wu-Hsing Idea),陰陽五行思想
Ommyo-gogyo-setsu,陰陽五行説
Onmyo no shisho,陰陽史生（おんみょうのししょう）
Onmyoji (Master of Yin yang),陰陽師
cosmic dual forces ideology,陰陽思想
"Onmyo no suke (Assistant Director of Onmyoryo, or Bureau of Divination)",陰陽助
Onmyo no shojo,陰陽少允
Onmyo no shozoku,陰陽少属
Onmyo no daijo,陰陽大允
Onmyo no taizoku,陰陽大属
Inyo-cho,陰陽町
"Onmyo no kami (Director of Onmyoryo, or Bureau of Divination)",陰陽頭
Onmyodo (way of Yin and Yang; occult divination system based on the Taoist theory of the five elements),陰陽道
Onmyoryo (Bureau of Divination),陰陽寮
the Chinese lunar calendar,陰暦
hidden cross,隠された十字架
camouflaged weapon,隠し武器
Kakushi-bocho (light scoring),隠し包丁
hidden sign and signature,隠し落款（サイン）
crypto‐Christian,隠れキリシタン
recluses,隠逸
Oki Province,隠岐
Tamekiyo OKI,隠岐為清
Oki Province,隠岐国
Governor of Oki Province,隠岐守
Oki Islands,隠岐諸島
Oki zukuri style (Mizuwakasu jinja shrine),隠岐造（水若酢神社）
Oki no shima Island,隠岐島
Okibon,隠岐本
Okibon with annex,隠岐本識語
retirement,隠居
abdication and life incarceration (Inkyo eichikkyo),隠居永蟄居
a retreat for his old age,隠居所
castle to retire,隠居城
retirement stipend,隠居料
Ingen,隠元
Ingen Ryuki (Yinyuan Longqi),隠元隆き
jargon,隠語
secluded life,隠棲
ascetic practice in seclusion,隠棲修行
Insei Literature (retireing literature),隠棲文学
withdraw,隠退
a place for seclusion,隠退所
retire,隠遁
hermit,隠遁者
seclusion monk,隠遁僧
the ability of concealment (the ability to conceal),隠蔽性
verse,韻文
right of Daimonji,右の大文字
Ueji no daijo (Senior Lieutenant of the Right Guards),右衛士大尉
Uemon no jo (the third ranked official of the Right Division of Outer Palace Guards),右衛門尉
Uemon Gon no suke (provisional assistant captain of the Right Division of Outer Palace Guards),右衛門権佐
Uemon no suke (Assistant Captain of the Right Division of Outer Palace Guards),右衛門佐
uemon no suke no tsubone,右衛門佐局
Uemon no kami (Captain of the Right Division of Outer Palace Guards),右衛門督
Emon-no-kami FUJIWARA no Ienari,右衛門督藤原家成
uki,右記
Ukyo,右京
Ukyonosato,右京の里
Ukyo Fureai Bunka Kaikan (Ukyo Fureai Culture Hall),右京ふれあい文化会館
Ukyo Ichijo Ichibo,右京一条一坊
Ukyo Ward,右京区
general buildings of Ukyo Ward Office,右京区総合庁舎
Ukyo Police Office [Station],右京警察署
Ukyo Gon no daibu (Provisional Master of the Western Capital Offices),右京権大夫
Ukyo Shichijo,右京七条
Ukyo Fire Station,右京消防署
Ukyo Library,右京図書館
Ukyo no daibu (Master of the Western Capital Offices),右京大夫
Ukyo no Daibu Jushii (Minister of the Kyoto Right Administration Office with Junior Fourth Rank),右京大夫従四位
Ukyo Post Office,右京郵便局
Ukyo no suke (Assistant Master of the Western Capital Offices),右京亮
Ukon,右近
Ukon no Tachibana (the Mandarin Orange of the right),右近の橘
Ukon no Baba (a riding ground),右近の馬場
Ukonefu (Right Division of Inner Palace Guards),右近衛 (府)
Ukone no Gon no shosho (Provisional Minor Captain of the Right Division of Inner Palace Guards),右近衛権少将
Ukone no Gon no chujo (Provisional Middle Captain of the Right Division of Inner Palace Guards),右近衛権中将
Retained his position as Ukonoe gonno chujo,右近衛権中将如元
Ukone no shogen (Lieutenant of the Right Division of Inner Palace Guards),右近衛将監
Ukone no shosho (Minor Captain of the Right Division of Inner Palace Guards),右近衛少将
Retained his position as Ukone no shosho,右近衛少将如元
Ukone no daisho (Major Captain of the Right Division of Inner Palace Guards),右近衛大将
Retained his position as Ukone-no-daisho,右近衛大将如元
"Hyobu-kyo (chief of Hyobu), Ukon-e-no-Daisho",右近衛大将兵部卿
Ukone no chujo,右近衛中将
Ukone no chujo Munemori,右近衛中将・宗盛
"Morosue Sai'onji, Righti Konoe Chujo",右近衛中将西園寺師季（もろすえ）
Retained his position as Ukone no chujo,右近衛中将如元
Ukonefu (gard),右近衛府
Ukon no Tachibana (the Mandarin Orange of the right),右近橘
Ukon no gon no chujo (Provisional Middle Captain of the Right Division of Inner Palace Guards),右近権中将
Ukon no jo (Lieutenant of the Right Division of Inner Palace Guards) ,右近将監
Deputy General of Imperial Guard of the Right,右近中将
Ukon [Ukone]-no-chujo (Middle Captain of the Right Division of Inner Palace Guards),右近中将 (=右近衛中将)
right facing,右向き
root of right thumb,右手親指根
Ushosho (Minor Captain of the Right Division of Inner Palace Guards),右少将
Ushoben (Minor Controller of the Right) ,右少弁
"ushojo (udaijin, or mister of the right)",右丞相
"ushokoku (udaijin, or minister of the right)",右相国
"right-aidono, enshrine (deities) in the right-aidono",右相殿
udaisho,右大将
udaijin (minister of the right),右大臣
"ABE no Miushi, Udaijin (Minister of the Right)",右大臣阿倍御主人
"Tomomi IWAKURA, Udaijin (Minister of the Right)",右大臣岩倉具視
"Akimitsu, Udaijin (Minister of the Right)",右大臣顕光
"MINAMOTO no Yoshiari, Udaijin (Minister of the Right)",右大臣源能有
